Plate,Position,Count_thrash,Tower_pop,Length_thrash
1,top,23,118,4.321
1,bottom,21,118,4.321
1,surface,23,118,4.321
17,top,22,84,4.161
17,bottom,NA,84,4.161
17,surface,20,84,4.161
26,top,22,281,4.623
26,bottom,24,281,4.623
26,surface,22,281,4.623
28,top,21,210,4.152
28,bottom,20,210,4.152
28,surface,23,210,4.152
29,top,12,180,3.265
29,bottom,29,180,3.265
29,surface,22,180,3.265
30,top,25,173,3.633
30,bottom,23,173,3.633
30,surface,26,173,3.633
31,top,22,131,3.742
31,bottom,14,131,3.742
31,surface,15,131,3.742
35,top,20,140,4.529
35,bottom,24,140,4.529
35,surface,24,140,4.529
36,top,NA,240,4.131
36,bottom,NA,240,4.131
36,surface,23,240,4.131
38,top,11,214,3.749
38,bottom,22,214,3.749
38,surface,23,214,3.749
41,top,21,86,4.036
41,bottom,23,86,4.036
41,surface,26,86,4.036
42,top,20,64,3.614
42,bottom,21,64,3.614
42,surface,24,64,3.614
43,top,17,68,3.677
43,bottom,NA,68,3.677
43,surface,24,68,3.677
44,top,18,93,4.277
44,bottom,24,93,4.277
44,surface,26,93,4.277
48,top,25,289,5.676
48,bottom,20,289,5.676
48,surface,25,289,5.676
49,top,22,287,4.456
49,bottom,19,287,4.456
49,surface,22,287,4.456
50,top,29,266,4.55
50,bottom,25,266,4.55
50,surface,24,266,4.55
51,top,22,89,3.274
51,bottom,24,89,3.274
51,surface,23,89,3.274
52,top,21,186,4.077
52,bottom,16,186,4.077
52,surface,25,186,4.077