pc1,pc2,pc3,pc4,Positions,Plate
-2.319474841,1.085096283,0.020002741,1.382370842,Bottom,12
-1.458194007,-0.44491253,0.332314894,-1.328698707,Bottom,10
-1.282839924,-0.214174052,0.505102705,-1.551950893,Bottom,11
0.339943789,-0.451223451,-2.529976835,-0.110977207,Bottom,13
-0.576914531,0.857009179,0.139582408,0.012019472,Bottom,14
-0.496337156,1.716368571,-0.16234638,-0.044653381,Bottom,23
-0.394174519,-1.514813813,2.416955923,-0.742616493,Bottom,16
0.041844445,0.510600324,-1.328099323,0.183333929,Bottom,25
-5.864144859,-5.017880058,3.566467292,7.900948124,Bottom,21
-2.380299421,1.816449101,-0.700530594,-0.601745406,Bottom,22
-2.041143141,-0.574667354,0.541362336,1.374442304,Bottom,27
-1.378507339,0.100965904,1.045991549,-0.183027261,Bottom,24
-3.183488122,-0.375123822,0.290717737,1.11732108,Bottom,49
-1.734427727,-2.44850848,1.332824815,0.115304344,Bottom,26
-2.648050244,2.132574156,-1.354916825,1.189175538,Bottom,31
-2.814999475,-0.288704681,-0.219130896,0.69994519,Bottom,28
-2.726726782,-1.183159039,2.613726743,0.691445588,Bottom,36
0.291905992,-0.143752553,0.497715513,-1.407796027,Bottom,30
-2.527356337,-0.6071954,0.704831311,-0.623131573,Bottom,37
-0.696315328,1.031607136,-1.99888035,1.739289953,Bottom,40
-1.332434835,-1.055391307,0.739561868,0.262174632,Bottom,46
-2.913585774,-0.895283131,1.448696528,1.854091073,Bottom,50
0.999150629,1.195155004,-1.250400618,-0.816042399,Bottom,51
-1.297504903,0.311600838,0.15989934,0.139600295,Bottom,6
0.06589056,0.92417855,-0.599064293,0.606615994,Bottom,52
0.26884069,-0.713426233,1.456051222,-0.384680613,Bottom,55
0.133556349,0.545499036,0.683772056,-1.000042525,Bottom,53
-0.134725156,1.120536849,-0.182018433,-1.094324834,Bottom,54
0.495292771,-0.01390917,0.772301886,-1.577759905,Bottom,7
-0.869135682,-0.419742893,1.003674435,-1.411832453,Bottom,8
-0.263406969,-0.225258448,1.01572042,-0.80299261,Bottom,9
-0.356590018,1.122441823,-1.387076555,0.103747169,Bottom,20
-1.506842793,-0.070065618,0.567406581,-1.78964456,Outside,10
-0.306458362,-0.793607249,1.068362731,-0.804542492,Outside,12
-1.119337973,-0.51040462,1.189188826,-1.164979332,Outside,11
7.147870732,-5.739640015,-2.015774343,1.471046978,Outside,13
0.718273921,0.232683764,1.768545746,-0.956719873,Outside,14
2.848113406,-2.522340078,-2.983086947,0.378208644,Outside,23
1.201299286,1.62320657,-0.235143467,-1.455399814,Outside,16
3.030859331,-2.504372725,-0.264012213,0.564804561,Outside,25
-0.541140912,-0.057889686,-4.048648234,2.868480797,Outside,21
-0.648328503,-0.274764365,0.216342014,0.176264099,Outside,22
0.945234503,0.129733262,-0.511340046,0.854787384,Outside,24
0.096773692,-0.123119422,0.907061417,-0.080729688,Outside,27
-0.560253672,0.428617779,-1.528933495,0.125261684,Outside,26
1.683278191,0.568276079,-0.745832186,0.013242258,Outside,49
0.133263008,0.643701151,-0.328792469,0.799341064,Outside,28
-2.164981376,1.161350312,-0.268204457,0.653281401,Outside,31
0.186827029,-0.889908563,0.9956341,-1.082079922,Outside,30
-0.185950228,0.691780313,0.461687392,-1.135187001,Outside,36
-1.646765786,1.339214987,-0.175614652,-0.515654249,Outside,37
2.941172777,-2.091809934,-1.851406491,0.622358741,Outside,40
-0.235746673,1.598072453,-0.697840068,-0.514806106,Outside,39
0.544903728,-0.517160735,0.653322967,-0.338553984,Outside,46
2.632289785,1.36570972,0.075711902,-1.293354069,Outside,50
4.405538127,-3.81353456,-2.878390945,0.12076711,Outside,51
-2.655008304,-0.015824182,-0.043854651,-0.247419683,Outside,52
0.934219234,0.187289128,0.546575339,-0.621086911,Outside,6
0.051483523,-0.781553657,1.150409703,-0.733975302,Outside,53
0.857530208,0.778630411,0.161670995,-1.033273594,Outside,55
-0.112622061,3.040589882,-2.464344095,2.097466949,Outside,54
0.656834931,-0.177797325,-1.561723864,0.587723016,Outside,7
6.382064576,-4.044983446,-0.509228733,0.391328454,Outside,8
0.120245563,-0.70904469,-2.685138326,2.292450295,Outside,9
0.529259488,0.574900801,0.127974137,-1.267825865,Outside,20
-0.272547992,0.80656602,-1.324923856,-0.882979719,Top,10
0.801540223,0.968187278,0.735517803,-1.287640719,Top,12
1.381330947,0.605602012,0.307099594,-1.946941795,Top,11
0.736389932,-1.906341514,1.512132518,-0.734962706,Top,13
0.004250929,1.783183141,-0.614582022,-0.64574562,Top,14
-0.035797982,3.898920771,-2.400922376,0.219079006,Top,23
0.891486242,0.048658258,0.384490495,-0.476434123,Top,16
2.996989837,-2.980936703,-0.360841323,-0.075960878,Top,25
0.578413073,-0.984805619,0.679867213,0.02672975,Top,21
-0.976055695,-1.145505402,0.844738501,-0.545186989,Top,22
-1.12911985,-0.123197535,-0.834036429,0.883378852,Top,24
-1.123710326,-1.326762795,1.017572263,-0.397211295,Top,27
0.206825752,0.265638966,-0.105757499,0.607023578,Top,26
-1.016807968,-1.361825207,1.118335953,-0.256569093,Top,49
-0.976043987,2.133015548,-3.329040304,2.130879605,Top,28
-0.451389331,2.18509395,-2.568850575,1.571501552,Top,31
-0.442629317,0.4917768,0.168626417,-1.675015104,Top,30
1.020386083,-0.145054074,1.605966064,-1.598564429,Top,36
-2.000710283,0.777837951,-0.402334658,-0.199430604,Top,37
-0.599787484,0.272826298,-0.469811059,0.175490765,Top,40
1.420813157,-0.636281899,0.828301367,-1.379121324,Top,39
1.61167977,0.112629516,0.203025416,-0.282101849,Top,46
-1.253075107,0.533844277,1.278234487,-0.773976611,Top,50
2.926610959,0.768753958,-0.08792734,-0.511170522,Top,51
-1.176062463,-0.503124057,0.655028601,-0.334330467,Top,52
1.058012997,1.079242939,-0.448675103,-0.602488319,Top,6
-0.501876911,-1.679029615,1.098834374,-0.31876432,Top,53
10.24603387,7.13883185,7.72803613,5.56110147,Top,55
0.244159243,2.07591088,-2.179443124,1.84329737,Top,54
-2.642226287,-0.937052589,1.040065018,-1.22732446,Top,7
0.940833641,-0.143720439,0.838077345,-0.485123924,Top,8
0.137515305,0.626741142,-0.076992206,-0.502930531,Top,9
0.085022497,0.691483814,-0.507228471,-0.549640776,Top,20